source,image,proposals,final_instances,sam2_selected,coarse_selected,watershed_selected,universal_boundary_selected,cellpose_style_selected,separator_selected,external_selected,separator_generated,separator_before_ranker,separator_after_ranker,separator_after_set_selector,separator_after_merge,proposals_before_ranker,proposals_after_ranker,proposals_after_set_selector,proposals_after_merge,ranked_proposals,final_pred_n,final_gt_n,final_dice,final_binary_iou,final_pq,final_sq,final_rq,final_aji,final_precision,final_recall,final_f1,final_tp,final_fp,final_fn
dsb2018,dsb2018_10328b822b836e67b547b4144e0b7eb43747c114ce4cacd8b540648892945b00.png,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,0.9721557263449666,0.945820053934788,0.8674186176723904,0.9293770903632754,0.9333333333333333,0.9264563106796116,0.9545454545454546,0.9130434782608695,0.9333333333333333,21,1,2
dsb2018,dsb2018_10ba6cbee4873b32d5626a118a339832ba2b15d8643f66dddcd7cb2ec80fbc28.png,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,67,0.9842787489594482,0.9690441624127757,0.9326143679795442,0.9538101490699884,0.9777777777777777,0.9530379041248607,0.9705882352941176,0.9850746268656716,0.9777777777777777,66,2,1
dsb2018,dsb2018_11a0170f44e3ab4a8d669ae8ea9546d3a32ebfe6486d9066e5648d30b4e1cb69.png,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0.952630049404243,0.9095449500554939,0.8981361091136932,0.8981361091136932,1.0,0.9095449500554939,1.0,1.0,1.0,12,0,0
dsb2018,dsb2018_12aeefb1b522b283819b12e4cfaf6b13c1264c0aadac3412b4edd2ace304cb40.png,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,124,0.9199643791395336,0.8517907755733058,0.7787019350353815,0.869326729198982,0.8957528957528957,0.8014438020119649,0.8592592592592593,0.9354838709677419,0.8957528957528957,116,19,8
dsb2018,dsb2018_12f89395ad5d21491ab9cec137e247652451d283064773507d7dc362243c5b8e.png,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,78,0.9049712546499831,0.8264360716491661,0.7256377974623128,0.8355829182899359,0.868421052631579,0.7338024039871005,0.8918918918918919,0.8461538461538461,0.868421052631579,66,8,12
dsb2018,dsb2018_136000dc18fa6def2d6c98d4d0b2084d13c22eaffe82e26c665bcaa2a9e51261.png,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,34,0.9021468926553672,0.8217373404693289,0.6870245663324992,0.8051069136708975,0.8533333333333334,0.7422974702234472,0.7804878048780488,0.9411764705882353,0.8533333333333334,32,9,2
dsb2018,dsb2018_139946af9e2c7ef4f0298e622b831dbef5e5c0cd088eb5bc3382f8df9355443d.png,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0.9134897360703812,0.8407557354925776,0.8097507140853188,0.8907257854938507,0.9090909090909091,0.8407557354925776,0.8333333333333334,1.0,0.9090909090909091,10,2,0
dsb2018,dsb2018_13c8ff1f49886e91c98ce795c93648ad8634c782ff57eb928ce29496b0425057.png,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0.8822226009885802,0.7892650198231168,0.712935728185317,0.7574942111968994,0.9411764705882353,0.7671686746987951,0.9411764705882353,0.9411764705882353,0.9411764705882353,16,1,1
dsb2018,dsb2018_13f2bec0a24c70345372febb14c4352877b1b6c1b01896246048e83c345c0914.png,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,0.9888091172779824,0.9778659342894924,0.6490590851357643,0.8972287353347329,0.723404255319149,0.8716694902202372,0.5666666666666667,1.0,0.723404255319149,17,13,0
dsb2018,dsb2018_1400420310c9094361a8a243545187f1d4c2365e081b3bb08c5fa29c7491a55b.png,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0.8833350586356309,0.7910475433717389,0.6735169005393983,0.8418961256742478,0.8,0.5823329823329824,0.8,0.8,0.8,20,5,5
dsb2018,dsb2018_14cc1424c59808274e123db51292e9dbb5b037ef3e7c767a8c45c9ac733b91bf.png,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,0.9941264416915848,0.9883214778638921,0.9265631465024725,0.9486241738001505,0.9767441860465116,0.9418321323033854,0.9545454545454546,1.0,0.9767441860465116,21,1,0
dsb2018,dsb2018_15039b3acccc4257a1a442646a89b6e596b5eb4531637e6d8fa1c43203722c99.png,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,33,0.9632166018158236,0.9290432345876701,0.764249907412999,0.8751894101019828,0.8732394366197183,0.8282272597932278,0.8157894736842105,0.9393939393939394,0.8732394366197183,31,7,2
dsb2018,dsb2018_150b0ffa318c87b31d78af0e87d60390dbcd84b5f228a8c1fb3225cbe5df3e3f.png,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,198,0.9473898696491337,0.90003871550556,0.8331387191653538,0.877320317908971,0.9496402877697842,0.8777646696213159,0.9041095890410958,1.0,0.9496402877697842,198,21,0
dsb2018,dsb2018_1609b1b8480ee52652a644403b3f7d5511410a016750aa3b9a4c8ddb3e893e8e.png,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,0.9911614811646887,0.9824778323382909,0.8648813754320145,0.9609793060355716,0.9,0.9428076856499914,0.8571428571428571,0.9473684210526315,0.9,18,3,1
dsb2018,dsb2018_1631352dbafb8a90f11219fffd3bea368a30bc3bad3bbe0e84e19bd720df4945.png,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,32,0.9855132025069352,0.9714401458375531,0.8492507169495768,0.9177386779938975,0.9253731343283582,0.8937025747454439,0.8857142857142857,0.96875,0.9253731343283582,31,4,1
dsb2018,dsb2018_16c3d5935ba94b720becc24b7a05741c26149e221e3401924080f41e2f891368.png,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0.7434332714247811,0.5916385135135135,0.4067833486356233,0.6440736353397369,0.631578947368421,0.47572435395458107,0.75,0.5454545454545454,0.631578947368421,6,2,5
dsb2018,dsb2018_1740b0a67ca337ea31648b57c81bcfbb841c7bb5cad185199a9f4da596d531b9.png,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.9801084990958409,0.9609929078014184,0.960569805569119,0.960569805569119,1.0,0.9609929078014184,1.0,1.0,1.0,9,0,0
dsb2018,dsb2018_175dbb364bfefc9537931144861c9b6e08934df3992782c669c6fe4234319dfc.png,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,179,0.9781774458812635,0.9572869985482809,0.8883822092791451,0.9310446317586522,0.954177897574124,0.9167917630644791,0.921875,0.9888268156424581,0.954177897574124,177,15,2
dsb2018,dsb2018_1815cf307859b3e13669041d181aa3b3dbbac1a95aef4c42164b223110c09168.png,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.9846804014791336,0.9698231009365245,0.9532354010476006,0.9532354010476006,1.0,0.9698231009365245,1.0,1.0,1.0,9,0,0
