method,source,n,aji,binary_iou,dice,f1,fn,fp,gt_n,pq,precision,pred_n,recall,rq,sq,tp
raw_watershed,tissuenet,1357,0.6005218473545596,0.8337173927399453,0.9052008777314864,0.75874942050889,43.1930729550479,61.96462785556374,204.21370670596903,0.6019221338744334,0.7295978840593694,222.9852616064849,0.798475925557689,0.75874942050889,0.7856624042079592,161.02063375092115
raw_watershed,SOURCE_MACRO,4,0.6801027022406301,,0.9258230734166903,,,,,0.6426059466687721,,,,,,
current_proposal,ALL,1795,0.633566772440893,0.8457094767812354,0.9125380079623686,0.7851960732063451,39.626740947075206,53.57604456824512,191.95208913649023,0.6348582696343517,0.7617162285574258,205.90139275766015,0.8179533544911443,0.7851960732063451,0.7992684252039777,152.32534818941505
current_proposal,cellpose,147,0.7743690610745705,0.892373750352083,0.939617589976596,0.8833111205008514,14.918367346938776,11.89795918367347,126.62585034013604,0.7540896229845953,0.8779179136562498,123.60544217687077,0.8969299694022407,0.8833111205008514,0.8478884024748683,111.70748299319727
current_proposal,dsb2018,142,0.8366910547209905,0.906451300591708,0.9490962001235002,0.9091791677805316,3.014084507042253,5.73943661971831,42.53521126760563,0.8120508846917481,0.8903270980911253,45.26056338028169,0.9332912825769992,0.9091791677805316,0.8820714821270083,39.52112676056338
current_proposal,livecell,149,0.5842543493818506,0.8493714846988916,0.9164717648355184,0.7543972982952781,67.71812080536913,96.1006711409396,287.1275167785235,0.6042075985616694,0.717817606192482,315.51006711409394,0.8042709305787417,0.7543972982952781,0.7957177321780847,219.4093959731544
current_proposal,tissuenet,1357,0.6024731589721184,0.8338961927902757,0.9053470782519256,0.7649753702438706,43.05011053795136,58.4274134119381,204.21370670596903,0.6067658523235143,0.7404903652921822,219.5910095799558,0.7988311238226296,0.7649753702438706,0.7857267026682125,161.16359616801768
current_proposal,SOURCE_MACRO,4,0.6994469060373825,,0.9276331582968852,,,,,0.6942784896403817,,,,,,
coarse_no_sam2,ALL,1795,0.6335682892264579,0.8457094767812354,0.9125380079623686,0.7851777099479603,39.62562674094708,53.57604456824512,191.95208913649023,0.6348579510311905,0.7616959184419464,205.9025069637883,0.8179350891484488,0.7851777099479603,0.7992902499846519,152.3264623955432
coarse_no_sam2,cellpose,147,0.7743875823676932,0.892373750352083,0.939617589976596,0.8830868888763564,14.904761904761903,11.89795918367347,126.62585034013604,0.7540857325582384,0.8776699091849187,123.61904761904762,0.8967069334149059,0.8830868888763564,0.8481549023477262,111.72108843537416
coarse_no_sam2,dsb2018,142,0.8366910547209905,0.906451300591708,0.9490962001235002,0.9091791677805316,3.014084507042253,5.73943661971831,42.53521126760563,0.8120508846917481,0.8903270980911253,45.26056338028169,0.9332912825769992,0.9091791677805316,0.8820714821270083,39.52112676056338
coarse_no_sam2,livecell,149,0.5842543493818506,0.8493714846988916,0.9164717648355184,0.7543972982952781,67.71812080536913,96.1006711409396,287.1275167785235,0.6042075985616694,0.717817606192482,315.51006711409394,0.8042709305787417,0.7543972982952781,0.7957177321780847,219.4093959731544
coarse_no_sam2,tissuenet,1357,0.6024731589721184,0.8338961927902757,0.9053470782519256,0.7649753702438706,43.05011053795136,58.4274134119381,204.21370670596903,0.6067658523235143,0.7404903652921822,219.5910095799558,0.7988311238226296,0.7649753702438706,0.7857267026682125,161.16359616801768
coarse_no_sam2,SOURCE_MACRO,4,0.6994515363606632,,0.9276331582968852,,,,,0.6942775170337925,,,,,,
full_samcell,ALL,1795,0.6347421976436765,0.8443475745776489,0.9117178293541992,0.7846242700287616,39.611142061281335,53.56434540389972,191.95208913649023,0.6345691724887311,0.761115799772677,205.90529247910865,0.8176003245460783,0.7846242700287616,0.7993118006007507,152.3409470752089
