source,image,proposals,final_instances,sam2_selected,coarse_selected,watershed_selected,universal_boundary_selected,cellpose_style_selected,separator_selected,external_selected,separator_generated,separator_before_ranker,separator_after_ranker,separator_after_set_selector,separator_after_merge,proposals_before_ranker,proposals_after_ranker,proposals_after_set_selector,proposals_after_merge,ranked_proposals,final_pred_n,final_gt_n,final_dice,final_binary_iou,final_pq,final_sq,final_rq,final_aji,final_precision,final_recall,final_f1,final_tp,final_fp,final_fn
tissuenet,tissuenet_test_1029.png,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27,0.8290562480360323,0.7080239735217819,0.6083754452792081,0.7966821307227725,0.7636363636363637,0.6645453752942202,0.75,0.7777777777777778,0.7636363636363637,21,7,6
tissuenet,tissuenet_test_103.png,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,87,0.9379842218841759,0.8832111925383078,0.7238533963327822,0.8221544748471107,0.8804347826086957,0.7454152516208706,0.8350515463917526,0.9310344827586207,0.8804347826086957,81,16,6
tissuenet,tissuenet_test_1030.png,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,94,0.8413599554393932,0.7261616404415435,0.626575199835891,0.7941476370013038,0.7889908256880734,0.5853144953131368,0.6935483870967742,0.9148936170212766,0.7889908256880734,86,38,8
tissuenet,tissuenet_test_1031.png,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,32,0.8883329739055423,0.7990998680841158,0.6297631192563184,0.7534665891102382,0.835820895522388,0.6711114314545192,0.8,0.875,0.835820895522388,28,7,4
tissuenet,tissuenet_test_1032.png,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,78,0.8847671929355098,0.7933475300680843,0.5753448120555522,0.798538920180551,0.7204968944099379,0.5843557062985241,0.6987951807228916,0.7435897435897436,0.7204968944099379,58,25,20
tissuenet,tissuenet_test_1033.png,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,114,0.8595288120047353,0.7536611367759553,0.5952154319537314,0.7624107780081503,0.7807017543859649,0.5916313019860805,0.7807017543859649,0.7807017543859649,0.7807017543859649,89,25,25
tissuenet,tissuenet_test_1034.png,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,115,0.8851502227053083,0.793963671817045,0.6064914764180358,0.8141488841046458,0.7449392712550608,0.6297487243669972,0.696969696969697,0.8,0.7449392712550608,92,40,23
tissuenet,tissuenet_test_1035.png,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,111,0.899274267665297,0.8169830514981093,0.6042553953796262,0.7773493888477484,0.7773279352226721,0.6148308626601389,0.7058823529411765,0.8648648648648649,0.7773279352226721,96,40,15
tissuenet,tissuenet_test_1036.png,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,105,0.8231665609571068,0.6994758422454241,0.5096516231947307,0.7549214668571949,0.6751054852320675,0.5326509606587374,0.6060606060606061,0.7619047619047619,0.6751054852320675,80,52,25
tissuenet,tissuenet_test_1037.png,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,116,0.8155652238347783,0.6885691303959246,0.5405523174506233,0.7412524353159536,0.7292418772563177,0.5467882697755145,0.6273291925465838,0.8706896551724138,0.7292418772563177,101,60,15
tissuenet,tissuenet_test_1038.png,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,105,0.8489154824233358,0.737491877842755,0.580985583729214,0.7874804598739348,0.7377777777777778,0.5776453115781336,0.6916666666666667,0.7904761904761904,0.7377777777777778,83,37,22
tissuenet,tissuenet_test_1039.png,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,110,0.8691210692762098,0.768535911019185,0.5940180208331854,0.7740234816917265,0.7674418604651163,0.6176016370024323,0.668918918918919,0.9,0.7674418604651163,99,49,11
tissuenet,tissuenet_test_104.png,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,78,0.8351895240234939,0.7170175245233109,0.5137061738386386,0.7139645127926842,0.7195121951219512,0.5348275862068965,0.686046511627907,0.7564102564102564,0.7195121951219512,59,27,19
tissuenet,tissuenet_test_1040.png,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,106,0.8563810834387939,0.7488343110079718,0.5948469763000807,0.7758873603914095,0.7666666666666667,0.5936441424683284,0.6865671641791045,0.8679245283018868,0.7666666666666667,92,42,14
tissuenet,tissuenet_test_1041.png,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,95,0.8578360138912835,0.7510620404114463,0.5998670786761782,0.755254333995911,0.7942583732057417,0.6115664754797865,0.7280701754385965,0.8736842105263158,0.7942583732057417,83,31,12
