source,image,proposals,final_instances,sam2_selected,coarse_selected,watershed_selected,universal_boundary_selected,cellpose_style_selected,separator_selected,external_selected,separator_generated,separator_before_ranker,separator_after_ranker,separator_after_set_selector,separator_after_merge,proposals_before_ranker,proposals_after_ranker,proposals_after_set_selector,proposals_after_merge,ranked_proposals,final_pred_n,final_gt_n,final_dice,final_binary_iou,final_pq,final_sq,final_rq,final_aji,final_precision,final_recall,final_f1,final_tp,final_fp,final_fn
pannuke,pannuke_fold1_1027.png,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,68,0.8106725851587379,0.6816227180527383,0.607514364829916,0.7908161128389424,0.7682119205298014,0.5900268507863444,0.6987951807228916,0.8529411764705882,0.7682119205298014,58,25,10
pannuke,pannuke_fold1_1028.png,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,49,0.714265675410296,0.5555313113680995,0.5054510536356869,0.7781285957286233,0.6495726495726496,0.484280657922132,0.5588235294117647,0.7755102040816326,0.6495726495726496,38,30,11
pannuke,pannuke_fold1_1029.png,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,91,0.7734901637089008,0.6306432617351803,0.5632198419526359,0.7726220908837441,0.7289719626168224,0.5716756756756757,0.6341463414634146,0.8571428571428571,0.7289719626168224,78,45,13
pannuke,pannuke_fold1_103.png,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,0.8183525623826133,0.6925522252497729,0.5886911842558119,0.7791500968091628,0.7555555555555555,0.5351136129608018,0.7727272727272727,0.7391304347826086,0.7555555555555555,17,5,6
pannuke,pannuke_fold1_1030.png,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,82,0.7145833333333333,0.5559157212317666,0.46236272094150377,0.7276528067276126,0.6354166666666666,0.45938902562617634,0.5545454545454546,0.7439024390243902,0.6354166666666666,61,49,21
pannuke,pannuke_fold1_1031.png,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,0.9696175499902931,0.9410268487988696,0.8802587528159652,0.9344285222200247,0.9420289855072463,0.9120267260579065,0.9420289855072463,0.9420289855072463,0.9420289855072463,65,4,4
pannuke,pannuke_fold1_1032.png,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,41,0.7927314026121521,0.6566321730950141,0.5669117646014438,0.8074197859475107,0.7021276595744681,0.5617635879893577,0.6226415094339622,0.8048780487804879,0.7021276595744681,33,20,8
pannuke,pannuke_fold1_1033.png,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,55,0.5804412333892401,0.40888848495864766,0.2521960502900418,0.7425772591873452,0.33962264150943394,0.19558846213172915,0.25961538461538464,0.4909090909090909,0.33962264150943394,27,77,28
pannuke,pannuke_fold1_1034.png,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,65,0.9610275136938865,0.9249787904496425,0.8386200630575193,0.914233347431558,0.9172932330827067,0.8800899621212122,0.8970588235294118,0.9384615384615385,0.9172932330827067,61,7,4
pannuke,pannuke_fold1_1035.png,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,83,0.737023281094302,0.5835604647826711,0.4853977957251352,0.7490190123689586,0.6480446927374302,0.44168734491315137,0.6041666666666666,0.6987951807228916,0.6480446927374302,58,38,25
pannuke,pannuke_fold1_1036.png,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,69,0.7878676470588235,0.6499848346982104,0.5495081749829379,0.7816280075188341,0.703030303030303,0.5929721815519766,0.6041666666666666,0.8405797101449275,0.703030303030303,58,38,11
pannuke,pannuke_fold1_1037.png,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,84,0.8025155109103955,0.6701677710418723,0.5705039395383124,0.7532434826716781,0.757396449704142,0.5948438341410878,0.7529411764705882,0.7619047619047619,0.757396449704142,64,21,20
pannuke,pannuke_fold1_1038.png,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,81,0.843278827776598,0.729025151459519,0.6274211898792621,0.7935032695531845,0.7906976744186046,0.6668043183293021,0.7472527472527473,0.8395061728395061,0.7906976744186046,68,23,13
pannuke,pannuke_fold1_1039.png,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,49,0.5795421191664221,0.40799669387333404,0.3912474257605416,0.7249584653798271,0.5396825396825397,0.3311193592498535,0.44155844155844154,0.6938775510204082,0.5396825396825397,34,43,15
pannuke,pannuke_fold1_104.png,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,0.8451543042772063,0.7318330989217066,0.6613467931747437,0.7815916646610607,0.8461538461538461,0.6398828020953565,0.8148148148148148,0.88,0.8461538461538461,22,5,3
pannuke,pannuke_fold1_1040.png,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,68,0.7043412276848117,0.5436162998582085,0.5006255381035083,0.764844572102582,0.6545454545454545,0.4496034273143056,0.5567010309278351,0.7941176470588235,0.6545454545454545,54,43,14
pannuke,pannuke_fold1_1041.png,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,53,0.7184189948105495,0.5605724428666519,0.5553590776556628,0.7801472757543836,0.711864406779661,0.5012806830309499,0.6461538461538462,0.7924528301886793,0.711864406779661,42,23,11
pannuke,pannuke_fold1_1042.png,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,21,0.6979172777940745,0.5360007209155627,0.37946186304092405,0.7905455480019251,0.48,0.2801351858805858,0.41379310344827586,0.5714285714285714,0.48,12,17,9
